Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Masters,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,37,Male,No,4,0
Bachelors,2012,Bangalore,3,37,Male,No,0,0
Bachelors,2012,Bangalore,3,39,Male,No,1,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,1,28,Female,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,1
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,1
Bachelors,2012,Bangalore,3,25,Male,Yes,3,0
Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
Bachelors,2012,Bangalore,3,25,Female,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Female,No,3,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,28,Male,Yes,3,1
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,3,0
Masters,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,28,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Female,Yes,5,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,1,27,Male,No,5,1
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,1,27,Male,No,5,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
Bachelors,2012,Bangalore,3,28,Female,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,1,28,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,28,Female,No,2,1
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
Bachelors,2012,Bangalore,3,24,Female,No,2,0
Bachelors,2012,Bangalore,3,26,Male,Yes,4,0
Bachelors,2012,Bangalore,3,28,Female,No,1,1
Bachelors,2012,Bangalore,3,29,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Female,No,4,1
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,29,Male,No,1,1
Bachelors,2012,Bangalore,2,27,Female,No,5,1
Bachelors,2012,Bangalore,3,30,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,1
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,30,Male,No,2,0
Bachelors,2012,Bangalore,3,28,Male,No,1,1
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,1,27,Female,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,28,Female,No,1,0
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,30,Female,No,1,1
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,29,Male,Yes,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,1,30,Female,No,2,0
Bachelors,2012,Bangalore,3,30,Female,Yes,2,0
Bachelors,2012,Bangalore,1,27,Female,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
Bachelors,2012,Bangalore,3,26,Male,No,4,1
Bachelors,2012,Bangalore,3,30,Female,No,2,0
Bachelors,2012,Bangalore,3,28,Male,No,1,0
Bachelors,2012,Bangalore,3,28,Female,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,29,Female,No,1,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,1,30,Female,No,0,0
Bachelors,2012,Bangalore,3,30,Female,No,0,1
Bachelors,2012,Bangalore,3,29,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,29,Male,Yes,2,1
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,0,0
Bachelors,2012,Bangalore,3,29,Male,No,2,1
Bachelors,2012,Bangalore,3,28,Female,No,2,0
Bachelors,2012,Bangalore,3,27,Female,No,5,1
Bachelors,2012,Bangalore,3,29,Male,No,5,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,29,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Female,No,5,0
Bachelors,2012,Bangalore,3,28,Male,No,0,1
Bachelors,2012,Bangalore,3,28,Female,Yes,0,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,26,Female,No,4,0
Bachelors,2012,Bangalore,3,28,Male,Yes,2,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,28,Female,No,4,0
Bachelors,2012,Bangalore,3,29,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Female,No,0,0
Bachelors,2012,Bangalore,3,30,Female,No,1,0
Bachelors,2012,Bangalore,3,29,Male,Yes,2,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,28,Male,No,2,0
Bachelors,2012,Bangalore,3,28,Male,No,0,0
Bachelors,2012,Bangalore,3,28,Female,No,3,0
Masters,2012,Bangalore,3,26,Female,No,4,1
Bachelors,2012,Bangalore,3,36,Male,No,2,0
Masters,2012,Bangalore,2,32,Male,No,3,1
Bachelors,2012,Bangalore,3,34,Male,No,1,0
Bachelors,2012,Bangalore,3,39,Female,No,2,0
Bachelors,2012,Bangalore,3,41,Male,No,3,0
Bachelors,2012,Bangalore,3,33,Male,No,2,0
Bachelors,2012,Bangalore,3,37,Female,No,5,1
Bachelors,2012,Bangalore,3,35,Female,No,1,0
Bachelors,2012,Bangalore,1,36,Male,No,3,0
Bachelors,2012,Bangalore,3,31,Male,No,4,0
Bachelors,2012,Bangalore,3,41,Male,No,3,0
Bachelors,2012,Bangalore,3,37,Male,No,4,0
Bachelors,2012,Bangalore,3,33,Female,No,5,0
Bachelors,2012,Bangalore,3,34,Male,No,4,0
Bachelors,2012,Bangalore,3,33,Female,Yes,0,0
Bachelors,2012,Bangalore,3,41,Female,No,5,0
Bachelors,2012,Bangalore,1,32,Male,No,1,1
Bachelors,2012,Bangalore,3,32,Female,No,1,1
Bachelors,2012,Bangalore,3,35,Male,No,1,0
Bachelors,2012,Bangalore,3,38,Female,No,5,0
Bachelors,2012,Bangalore,3,33,Female,No,1,0
Bachelors,2012,Bangalore,3,39,Female,No,5,0
Bachelors,2012,Bangalore,3,41,Female,No,4,0
Bachelors,2012,Bangalore,3,40,Male,No,0,0
Bachelors,2012,Bangalore,3,38,Female,No,3,0
Masters,2012,Bangalore,3,40,Female,No,5,0
Bachelors,2012,Bangalore,3,41,Male,No,5,0
Bachelors,2012,Bangalore,3,37,Male,No,4,0
Bachelors,2012,Bangalore,3,38,Male,No,2,0
Bachelors,2012,Bangalore,3,31,Male,Yes,5,0
Bachelors,2012,Bangalore,3,39,Male,No,0,0
Bachelors,2012,Bangalore,3,40,Male,No,3,0
Bachelors,2012,Bangalore,3,37,Male,No,3,1
Bachelors,2012,Bangalore,3,37,Male,No,3,0
Bachelors,2012,Bangalore,3,31,Female,No,3,0
Bachelors,2012,Bangalore,3,39,Male,No,3,0
Bachelors,2012,Bangalore,3,38,Female,No,4,1
Bachelors,2012,Bangalore,3,32,Female,No,2,1
Bachelors,2012,Bangalore,3,31,Male,Yes,0,1
Bachelors,2012,Bangalore,3,32,Male,No,5,0
Bachelors,2012,Bangalore,3,37,Male,No,3,0
Bachelors,2012,Bangalore,3,41,Male,Yes,0,0
Bachelors,2012,Bangalore,3,41,Male,No,3,0
Bachelors,2012,Bangalore,3,36,Male,No,1,1
Bachelors,2012,Bangalore,3,36,Male,No,5,0
Bachelors,2012,Bangalore,3,40,Male,No,1,0
Bachelors,2012,Bangalore,3,39,Female,No,2,0
Bachelors,2012,Bangalore,3,32,Male,No,4,0
Bachelors,2012,Bangalore,3,32,Male,No,3,0
Bachelors,2012,Bangalore,3,35,Male,No,1,1
Bachelors,2012,Bangalore,3,34,Male,No,5,0
Bachelors,2012,Bangalore,3,40,Male,No,4,0
Bachelors,2012,Bangalore,3,36,Male,Yes,0,0
Bachelors,2012,Bangalore,3,33,Female,No,4,0
Bachelors,2012,Bangalore,3,36,Male,No,5,0
Bachelors,2012,Bangalore,3,38,Male,Yes,0,0
Bachelors,2012,Bangalore,3,35,Male,No,1,1
Bachelors,2012,Bangalore,3,33,Male,No,1,0
Bachelors,2012,Bangalore,3,33,Male,No,0,0
Bachelors,2012,Bangalore,3,38,Female,No,5,0
Bachelors,2012,Bangalore,1,38,Female,No,1,0
Bachelors,2012,Bangalore,3,36,Female,No,5,0
Bachelors,2012,Bangalore,3,40,Male,Yes,2,0
Bachelors,2012,Bangalore,3,34,Male,No,2,0
Bachelors,2012,Bangalore,1,34,Male,No,0,0
Bachelors,2012,Bangalore,3,34,Male,No,1,0
Bachelors,2012,Bangalore,3,36,Male,No,1,0
Bachelors,2012,Bangalore,3,33,Male,Yes,0,0
Masters,2012,Bangalore,3,39,Female,No,3,1
Bachelors,2012,Bangalore,3,36,Male,No,1,0
Bachelors,2012,Bangalore,3,40,Male,No,4,0
Bachelors,2012,Bangalore,3,33,Male,No,1,0
Bachelors,2012,Bangalore,3,35,Male,No,5,0
Bachelors,2012,Bangalore,3,40,Female,No,5,0
Bachelors,2012,Bangalore,3,38,Male,No,7,1
Bachelors,2012,Bangalore,1,35,Male,No,7,0
Bachelors,2012,Bangalore,3,22,Male,No,0,0
Bachelors,2012,Bangalore,3,25,Female,No,3,1
Bachelors,2012,Bangalore,3,31,Male,No,0,0
Bachelors,2012,Bangalore,1,28,Female,Yes,1,0
Bachelors,2012,Bangalore,3,38,Male,No,3,0
Bachelors,2012,Bangalore,3,29,Male,No,4,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,37,Male,No,4,1
Bachelors,2012,Bangalore,3,38,Female,No,0,0
Bachelors,2012,Bangalore,3,36,Female,No,2,1
Bachelors,2012,Bangalore,3,37,Male,No,5,0
Bachelors,2012,Bangalore,3,39,Male,No,3,0
Bachelors,2012,Bangalore,3,37,Male,No,4,0
Bachelors,2012,Bangalore,3,38,Male,No,2,1
Bachelors,2012,Bangalore,3,26,Male,Yes,4,0
Bachelors,2012,Bangalore,1,35,Male,No,4,0
Bachelors,2012,Bangalore,3,36,Female,No,3,0
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,32,Male,No,4,0
Bachelors,2012,Bangalore,3,23,Female,No,1,1
Bachelors,2012,Bangalore,3,23,Male,No,1,0
Bachelors,2012,Bangalore,3,40,Male,No,3,0
Bachelors,2012,Bangalore,3,32,Female,No,0,0
Bachelors,2012,Bangalore,3,25,Male,No,3,1
Bachelors,2012,Bangalore,3,33,Female,No,5,0
Bachelors,2012,Bangalore,3,39,Male,No,3,0
PHD,2012,Bangalore,1,38,Male,No,5,0
Bachelors,2012,Bangalore,3,31,Male,No,0,0
Bachelors,2012,Bangalore,3,31,Male,No,3,0
Masters,2012,Bangalore,3,31,Female,No,4,0
Bachelors,2012,Bangalore,3,23,Male,Yes,1,0
Bachelors,2012,Bangalore,3,39,Female,No,3,0
Bachelors,2012,Bangalore,3,38,Male,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,1
Bachelors,2012,Bangalore,3,23,Male,No,1,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,36,Female,No,4,0
Bachelors,2012,Bangalore,3,27,Male,No,5,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,26,Male,No,4,0
Bachelors,2012,Bangalore,3,36,Female,No,1,0
Bachelors,2012,Bangalore,3,22,Male,No,0,1
Bachelors,2012,Bangalore,3,24,Male,No,2,0
Bachelors,2012,Bangalore,3,35,Female,No,2,0
Bachelors,2012,Bangalore,3,25,Male,No,3,0
Bachelors,2012,Bangalore,3,23,Female,No,1,1
Bachelors,2012,Bangalore,3,39,Female,No,1,0
PHD,2012,Bangalore,3,30,Female,No,4,0
Bachelors,2012,Bangalore,3,36,Female,No,4,0
Bachelors,2012,Bangalore,3,30,Male,Yes,2,0
